drug_name,company,date,summary,classification,path_to_future_approval,link
NDA 216442,,2025-04-02,"The agency finds the Study 030 primary efficacy endpoint analysis problematic and not robust, as it does not achieve statistical significance when analyzed similarly to Study 024.",efficacy,Conduct at least one additional adequate and well-controlled study to demonstrate a positive effect on the treatment of ocular symptoms of dry eye. Ensure no changes to the protocol or statistical analysis plan after the first subject is enrolled without FDA agreement. Address all identified deficiencies in a resubmission marked 'RESUBMISSION'.,https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA216442_20250402.pdf
(b) (4),(b) (4),2024-05-16,"The application requires a safety update, including detailed descriptions of changes or findings in the safety profile, retabulations of adverse events and discontinuations due to adverse events, and case report forms for deaths or discontinuations due to adverse events.",safety,"Provide a comprehensive safety update as described in 21 CFR 314.50(d)(5)(vi)(b), including detailed changes in the safety profile, retabulations of adverse events and discontinuations, and case report forms for specific events. Resubmit the proposed proprietary name when responding to all identified deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA216586_20240516.pdf
rivoceranib,"Elevar Therapeutics, Inc.",2025-03-20,The safety and effectiveness of rivoceranib have only been established in combination with SHR-1210. Approval is contingent on regulatory approval for SHR-1210. Comments on labeling are reserved until the application is otherwise adequate.,efficacy,"Obtain regulatory approval for SHR-1210. Address all deficiencies identified in the letter, including providing updated content of labeling in structured product labeling (SPL) format. Resubmit the proposed proprietary name. A resubmission must fully address all deficiencies and be clearly marked as 'RESUBMISSION'.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA216586_20250320.pdf
NDA 216987,,2024-05-10,"The CRL indicates deficiencies related to safety updates and labeling. The applicant needs to provide a detailed safety update including data from all nonclinical and clinical studies, and revise labeling to conform with regulatory requirements.",safety,"Provide a comprehensive safety update detailing any significant changes or findings in the safety profile, incorporating new safety data from studies/trials in specified formats. Additionally, revise the carton and container labeling to comply with regulatory standards. The resubmission must fully address all listed deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA216987_20240510.pdf
roluperidone,unknown,2024-02-26,"The application lacks sufficient evidence of efficacy and safety, including inadequate long-term safety data, insufficient data on co-administration with antipsychotics, and unconvincing clinical meaningfulness of the observed effects on negative symptoms. Additionally, concerns exist regarding QTc prolongation and the proposed method for identifying at-risk patients.",efficacy,"Submit at least one additional positive, adequate, and well-controlled study to support safety and effectiveness for negative symptoms. Provide additional data on safety and efficacy with concomitant antipsychotic administration. Demonstrate that the observed effect on negative symptoms is clinically meaningful. Provide data demonstrating long-term safety at the proposed dose. Address QTc prolongation by developing a strategy to identify at-risk patients, potentially requiring a companion diagnostic device and revised labeling. Refine population PK model to improve Cmax prediction. Provide additional validity evidence for NSFS and PSP measures, including qualitative data, conceptual frameworks, clinically meaningful change analyses, and psychometric analyses. Address product quality and biopharmaceutics deficiencies as needed.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA217002_20240226.pdf
,,2024-01-12,"The CRL indicates deficiencies related to safety updates, requiring detailed information on changes in the safety profile, updated adverse event data, and a summary of worldwide safety experience. It also mentions additional comments on human factors but states they are not approvability issues.",safety,"The applicant must provide a comprehensive safety update, including detailed descriptions of any significant changes or findings in the safety profile, updated tabulations of new safety data combined with original data, retabulations of reasons for premature trial discontinuation, case report forms and narrative summaries for deaths or discontinuations due to adverse events, descriptions of trends in adverse events, updated exposure information, and a summary of worldwide safety experience. Additionally, they must address any revisions to the user interface that may impact human factors considerations.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA217294_20240112.pdf
RB Health (US) LLC ER product,RB Health (US) LLC,2024-07-26,The application cannot be approved in its present form due to insufficient evidence to support the proposed 12-hour duration of action and dosing regimen for the ER product. The submitted PK data and scientific literature were not adequate to support the modification of the dosing interval.,efficacy,"Provide clinical efficacy data to support a 12-hour duration of use in a relevant patient population, or conduct a relative bioavailability study to establish a scientific bridge between the proposed product and Aleve-D Sinus and Cold. Additionally, a safety update is required, and labeling comments are reserved until other deficiencies are addressed.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA217338_20240726.pdf
,,2024-06-14,"The CRL requests a detailed safety update including data from all nonclinical and clinical studies/trials, with specific instructions on how to present new safety data, adverse events, discontinuations, and exposure information.",safety,"Provide a comprehensive safety update as described in 21 CFR 314.50(d)(5)(vi)(b), detailing changes in the safety profile, incorporating new safety data from studies/trials, presenting retabulations of adverse events and discontinuations, providing case report forms and narrative summaries for deaths or discontinuations due to adverse events, describing changes in the incidence of common adverse events, and updating exposure information.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA217379_20240614.pdf
Nutrilipid 20%,Not specified,2025-06-02,"The application lacks adequate information and justification to establish a scientific bridge between Nutrilipid 20% and Intralipid 20% for the treatment of LAST, due to statistically significant physicochemical differences and insufficient data on drug capture capability. Additionally, human factors validation study identified use errors and difficulties with critical tasks, indicating the proposed user interface does not support safe and effective use.",efficacy,"Provide additional data demonstrating comparable drug capture capability between Nutrilipid 20% and Intralipid 20% to establish a scientific bridge. Justify why physicochemical differences do not affect in vivo performance. Provide justification for the applicability of published literature for safety and effectiveness. Address use errors and difficulties identified in the human factors study by implementing additional risk controls, including device design and labeling changes. Clarify the intended indication for LAST treatment and provide an evidenced-based justification. Provide recommendations for additional treatment options if the maximum dose of the drug product is administered with no effect. Address any differences in prescribing information, particularly regarding pediatric patients, compared to Nutrilipid and Intralipid.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA217382_20250602.pdf
NDA 217433,,2024-07-15,"The human factors validation study results indicate that the user interface does not support the safe and effective use of the proposed product, with identified use errors related to depressing the plunger for dose administration.",others,"Implement user interface revisions and design modifications to promote safe and effective use, and provide data demonstrating that with these mitigations, the product user interface can be used safely and effectively to deliver the intended dose of drug substance. Prior to assessment, submit the HF validation study protocol and redesigned user interface for review and feedback. Additionally, provide a safety update including data from all nonclinical and clinical studies/trials.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA217433_20240715.pdf
cefepime and taniborbactam,,2024-02-22,The application requires additional analyses to address potential for higher taniborbactam exposures in patients on intermittent hemodialysis and to identify a dosage for this population that provides comparable exposures and target attainment.,others,"Evaluate additional dosing regimens for patients on intermittent hemodialysis, conduct probability of target attainment analysis using the latest updated population pharmacokinetic model, and resubmit the application addressing all deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA217556_20240222.pdf
,,2025-03-10,The application requires resubmission or other actions within one year to address deficiencies. Failure to respond may lead to withdrawal. A meeting can be requested to discuss steps for approval.,others,"Resubmit the application within one year, clearly marking it as a resubmission and ensuring it fully addresses all deficiencies. Alternatively, take other actions available under 21 CFR 314.110. A meeting can be requested to discuss the necessary steps for approval.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA217719_20250310.pdf
dasiglucagon,,2024-10-08,"The CRL indicates deficiencies related to manufacturing (CGMP compliance), labeling, and safety data, particularly concerning dosing and safety in infants with low body weight and premature infants. The applicant needs to address these issues, including providing updated safety information and justifications for dosing in specific populations.",safety,"Address CGMP compliance issues with the facility, including potential re-inspection. Resubmit draft labeling that conforms to formatting and content regulations, including a marked-up version with annotations. Provide a detailed safety update including data from all nonclinical and clinical studies, with specific attention to adverse events, discontinuations, and worldwide safety experience. Clarify and provide justification with supporting clinical safety data for dosing recommendations in infants less than 4.1 kg and premature infants, addressing potential differences in benefit/risk assessment and PK/PD characteristics. Justify the use of the infusion pump and set in low weight or premature infants. Submit proposals for the product labeling regarding renal impairment with justification and supporting data.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA217724_20241008.pdf
NDA 218026,(b) (4),2024-08-16,"The CRL indicates deficiencies related to labeling, specifically the Prescribing Information (PI) and carton/container labeling, and requires a detailed safety update including new safety data, retabulations of adverse events, and case report forms for specific events. The proprietary name was found conditionally acceptable pending approval.",others,"Resubmit the application within one year, addressing all identified deficiencies, including providing a marked-up copy of changes, ensuring PI conforms to regulations, and submitting a comprehensive safety update with new data and analyses. The proprietary name must also be resubmitted.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218026_20240816.pdf
GA Depot,,2024-03-08,"The CRL indicates deficiencies in efficacy, safety, and data integrity. The Phase 3 trial did not provide interpretable findings of efficacy for GA Depot as a treatment for relapsing forms of multiple sclerosis (RMS). There are concerns regarding the adequacy of safety data, including new safety concerns for GA Depot and important differences in its safety profile compared to Copaxone. Additionally, issues with data quality, protocol deviations, and immunogenicity analysis were noted.",efficacy,"The sponsor must address the deficiencies related to efficacy, including providing interpretable findings from the Phase 3 trial and establishing a scientific bridge to Copaxone. They also need to provide adequate safety data, resolve data integrity issues, and address concerns regarding immunogenicity analysis and manufacturing facility deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218223_20240308.pdf
carbidopa/levodopa,,2024-05-24,"The CRL indicates deficiencies related to facility inspections and requires satisfactory responses to these deficiencies. It also requests a safety update with detailed information on adverse events and trial discontinuations. Additionally, comments are made on clinical pharmacology and labeling, which are not approvability issues but need consideration.",others,"Provide satisfactory responses to facility inspection deficiencies, submit a comprehensive safety update including detailed adverse event and discontinuation data, and address comments related to clinical pharmacology and labeling. Resubmission must fully address all identified deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218317_20240524.pdf
NDA 218345,(b) (4),2025-04-02,"The CRL indicates deficiencies related to safety updates and labeling. The applicant needs to provide a detailed safety update, including data from all nonclinical and clinical studies, and address specific requirements for presenting adverse event data. Comments on labeling are reserved until the application is otherwise adequate.",safety,"Resubmit the application within one year, clearly marked as 'RESUBMISSION', fully addressing all deficiencies. This includes providing a comprehensive safety update with detailed descriptions of changes or findings in the safety profile, new safety data from studies/trials, retabulations of reasons for discontinuation, case report forms for deaths or discontinuations due to adverse events, and updated exposure information. English translations of current approved foreign labeling not previously submitted are also required. Comments on proposed labeling will be provided once the application is otherwise adequate.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218345_20250402.pdf
phenobarbital sodium injection,"Hikma Pharmaceuticals USA, Inc.",2023-03-23,"The application does not provide analyzable efficacy and safety datasets for independent FDA review. The key supporting reference for efficacy lacks sufficient detail for independent analysis. Additionally, deficiencies were identified in the abuse potential assessment and manufacturing facility inspections require satisfactory resolution.",efficacy,Provide analyzable efficacy and safety datasets for independent review. Discuss the contents and formats of efficacy and safety information derived from the NEOLEV2 study with the FDA before resubmission. Address deficiencies related to the abuse potential assessment and ensure satisfactory resolution of observations from the manufacturing facility inspection.,https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218258_20240123.pdf
floretyrosine F 18,,2025-04-25,"The application requires a second adequate and well-controlled efficacy study or other robust confirmatory evidence of efficacy. Optimization of the administered dose may also be considered. Additionally, a comprehensive safety update is required, detailing any significant changes or findings in the safety profile, including updated data from all nonclinical and clinical studies.",efficacy,"Conduct a second adequate and well-controlled efficacy study or provide other robust confirmatory evidence of efficacy. Optimize the administered dose of floretyrosine F 18. Submit a detailed safety update including data from all nonclinical and clinical studies, with specific attention to adverse events, discontinuations, and exposure information. Address any deficiencies in the proposed labeling and carton/container labeling.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218353_20250425.pdf
,,2024-07-01,"The CRL indicates deficiencies related to product quality and requires a safety update with detailed information on adverse events, discontinuations, and worldwide safety experience. Comments on proposed labeling are reserved until the application is otherwise adequate.",safety,"Address product quality deficiencies and provide a comprehensive safety update including detailed analysis of adverse events, discontinuations, and worldwide safety experience. The sponsor should also review labeling resources and revise proposed labeling as needed.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218345_20240701.pdf
,,2024-01-30,"The FDA has identified deficiencies in the safety update and labeling sections of the application. The applicant needs to provide a detailed safety update including data from all nonclinical and clinical studies, and address comments on proposed labeling.",safety,"Resubmit the application within one year, fully addressing all deficiencies, including a detailed safety update with new safety data, retabulations of adverse events, case report forms for deaths or discontinuations due to adverse events, updated exposure information, and a summary of worldwide safety experience. Also, address comments on draft labeling.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218470_20240130.pdf
,,2024-03-27,"The application is not yet approved. The FDA has acknowledged draft labeling and carton/container labeling, but reserves further comment until the application is otherwise adequate. The applicant is required to provide a safety update detailing any significant changes or findings in the safety profile, incorporating new safety data from studies/clinical trials.",safety,"Resubmit or take other actions available under 21 CFR 314.110 within one year. The resubmission must fully address all deficiencies, including providing a detailed safety update with new safety data and revised labeling. A meeting can be requested to discuss steps for approval.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218408_20240327.pdf
,,2024-06-13,"The CRL indicates deficiencies related to product quality, specifically facility inspections and labeling, and requests a safety update with new data.",others,"Address deficiencies related to facility inspections and labeling. Provide a comprehensive safety update including data from all nonclinical and clinical studies/trials, detailing any significant changes or findings in the safety profile, and presenting new safety data in specified formats. Resubmit the proposed proprietary name when responding to all identified deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218506_20240613.pdf
floretyrosine F 18,(b) (4),2025-04-25,"The application requires a second adequate and well-controlled efficacy study or other robust confirmatory evidence of efficacy. Additionally, optimization of the administered dose may be considered. A safety update is also required, detailing any significant changes or findings in the safety profile and incorporating new safety data from clinical trials.",efficacy,"Conduct a second adequate and well-controlled efficacy study or provide other robust confirmatory evidence of efficacy. Optimize the administered dose of floretyrosine F 18. Submit a comprehensive safety update including data from all nonclinical and clinical studies/trials, detailing significant safety profile changes and incorporating new safety data in specified formats. Resubmit the proposed proprietary name when responding to all identified deficiencies. The resubmission must fully address all deficiencies and be clearly marked as 'RESUBMISSION'.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218592_20250425.pdf
,,2025-03-27,"The CRL indicates deficiencies related to safety data presentation and analysis, including adverse event reporting and trial discontinuation reasons. It also requests updated exposure information and worldwide safety experience.",safety,"Resubmit the application addressing all deficiencies, including presenting new safety data, comparing adverse event frequencies, retabulating trial discontinuation reasons, providing case report forms for specific events, describing changes in common adverse events, providing updated exposure information, and summarizing worldwide safety experience. English translations of foreign labeling may also be required.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218571_20250327.pdf
,,2024-04-01,"The application has deficiencies related to labeling format and content, and requires a safety update.",others,"Submit draft labeling that is responsive to the agency's communication, corrects formatting errors using the SRPI checklist, and conforms to content and format regulations. Include a safety update with data from all nonclinical and clinical studies/trials, detailing any significant changes or findings in the safety profile. The resubmission must fully address all deficiencies and be clearly marked as 'RESUBMISSION'.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218524_20240329.pdf
(b)(4),(b)(4),2024-01-25,"The application is not approved because the proposed labeling must conform to content and format regulations. Additionally, a safety update is required, and there are comments regarding the drug product manufacturing process and facility.",others,"Resubmit the proposed proprietary name and address all application deficiencies, including conforming the proposed Prescribing Information (PI) to regulations, providing a detailed safety update with new data, and addressing CMC comments regarding the drug product manufacturing process and facility.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218528_20240125.pdf
NDA 218600,CDER,2024-10-21,"The CRL indicates deficiencies related to labeling, including draft labeling, carton and container labeling, and proprietary name. It also requires a detailed safety update with new data and retabulations of adverse events and discontinuations. The applicant must resubmit within one year addressing all deficiencies.",others,"Submit draft labeling that is responsive to electronic communication and corrects formatting errors. Provide updated content of labeling in SPL format. Submit a highlighted or marked-up copy showing all changes, along with a clean Word version. Include annotations supporting proposed changes. Resubmit the proposed proprietary name. Provide a safety update including detailed descriptions of significant changes in the safety profile, new safety data from studies/trials, retabulations of adverse events and discontinuations, case report forms for deaths or discontinuations due to adverse events, narrative summaries for serious adverse events, descriptions of changes in common adverse events, updated exposure information, and a summary of worldwide safety experience. English translations of current approved foreign labeling not previously submitted must also be provided. The resubmission must fully address all deficiencies and be clearly marked as 'RESUBMISSION'.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218600_20241021.pdf
,,2024-06-12,The application is not approved due to deficiencies related to safety updates and labeling.,safety,"Resubmit the application within one year, fully addressing all deficiencies, including providing a detailed safety update with new safety data, retabulations of adverse events, and case report forms for deaths or discontinuations due to adverse events. Comments on labeling will be provided once the application is otherwise adequate.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218698_20240612.pdf
,,2024-04-17,"The provided text is only a signature page and does not contain information about the drug, company, or reasons for a Complete Response Letter.",others,,https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218762_20240417.pdf
,,2025-06-27,"The application is not yet adequate. Comments on labeling are reserved. A detailed safety update is required, including data from all nonclinical and clinical studies/trials, with specific formatting for adverse events, discontinuations, and exposure information. A summary of worldwide safety experience and updated foreign labeling translations are also needed.",safety,"Address all deficiencies identified in the letter, including providing a comprehensive safety update with new data and analyses as specified. Resubmit the proposed proprietary name. The application must be resubmitted within one year, clearly marked as a RESUBMISSION, and must fully address all deficiencies. Alternatively, the applicant may request a meeting to discuss the necessary steps for approval.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218607_20250627.pdf
,,2024-12-05,"The FDA requires additional safety data and analyses, including updated exposure information and worldwide safety experience, to be submitted.",safety,"Resubmit or take other actions available under 21 CFR 314.110 within one year. This includes incorporating new safety data from studies/clinical trials, presenting retabulations of reasons for trial discontinuation, providing case report forms and narrative summaries for specific subjects, describing changes in adverse event incidence, providing updated exposure information, and submitting a summary of worldwide safety experience and foreign labeling translations.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218762_20241205.pdf
glepaglutide,(b) (4),12/19/2024,"The CRL cites numerous uncertainties regarding the interpretability and persuasiveness of efficacy results, including issues with protocol deviations, incomplete documentation, data reliability concerns, and inadequate qualitative and quantitative analyses. Additionally, safety concerns were raised due to a limited safety database and the identification of potential drug-induced liver injury, cancers, and gastric polyps. Inspection findings also raised concerns about data reliability.",efficacy,"Conduct a second adequate and well-controlled trial, at least 52 weeks in duration, to confirm the efficacy of the TBM dosage and generate additional controlled safety data. This trial should address the uncertainties identified in the letter, including establishing clinically meaningful within-patient score change thresholds for PS volume-related endpoints. Additionally, the sponsor must resolve CGMP inspection findings and ensure satisfactory outcomes from pre-approval/pre-licensing inspections.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218828_20241219.pdf
,,2025-01-03,"The application is not approved due to deficiencies in the safety profile of the drug, requiring detailed descriptions of changes, new safety data presentation, retabulation of adverse events, and updated exposure information.",safety,"The applicant must provide a detailed description of any significant changes or findings in the safety profile, present new safety data from studies in the same format as the original submission, retabulate reasons for premature trial discontinuation incorporating new data, provide case report forms and narrative summaries for specific adverse events, describe changes in the incidence of common adverse events, provide updated exposure information, and submit a summary of worldwide safety experience. Additionally, the applicant must address comments on carton and container labeling and proposed labeling.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218879_20250103.pdf
,,2024-10-10,"The FDA was unable to complete necessary inspections due to travel restrictions, and requires a detailed safety update including new data, retabulations of adverse events, and case report forms for subjects who died or discontinued trials due to adverse events. Comments on labeling are reserved until the application is otherwise adequate.",safety,"Resubmit the application addressing all deficiencies, including completing deferred inspections, providing a comprehensive safety update with new data and analyses, and potentially resubmitting the proprietary name. The resubmission must be clearly marked and state that it is a complete response to the identified deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218923_20241010.pdf
,,2025-05-29,"The provided text is only a signature page and does not contain information about the drug, company, or reasons for a Complete Response Letter.",others,,https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA219029_20250529.pdf
,,2025-07-30,"The CRL indicates deficiencies related to safety updates and labeling. The applicant needs to provide a detailed safety update including new safety data, retabulations of adverse events, and case report forms for subjects who died or discontinued due to adverse events. Comments on proposed labeling are reserved until the application is otherwise adequate.",safety,"Provide a comprehensive safety update as described in 21 CFR 314.50(d)(5)(vi)(b), incorporating new safety data from clinical studies. Address deficiencies related to labeling. Resubmit the application within one year, clearly marked as a RESUBMISSION, addressing all identified deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA218923_20250730.pdf
"naloxone HCl, 4 mg nasal spray",NDA 219045,2024-10-21,"The higher systemic exposure of the proposed product compared to approved naloxone products is a safety concern, potentially increasing the risk of precipitated opioid withdrawal. The submitted safety data is inadequate to address these risks in a nonprescription setting, and labeling challenges exist in communicating these differences to consumers.",safety,"The sponsor must establish the safety of the proposed product's higher systemic exposure for consumers in the nonprescription setting, potentially through product reformulation to achieve lower systemic exposure or by providing adequate clinical safety data and appropriate labeling to address the increased risks. This may include studies on higher-exposure naloxone formulations in opioid-dependent individuals and ensuring adequate comprehension of product labeling.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA219045_20241021.pdf
,,2025-01-17,"The CRL requests a safety update detailing any significant changes or findings in the safety profile, including new safety data from clinical trials, re-tabulation of reasons for trial discontinuation, case report forms for deaths or discontinuations due to adverse events, and a summary of worldwide safety experience.",safety,"Submit a safety update that includes detailed descriptions of any significant changes or findings in the safety profile, incorporates new safety data from clinical trials in specified formats, provides re-tabulations of reasons for premature trial discontinuation, includes case report forms and narrative summaries for specific adverse events, describes changes in the incidence of common adverse events, provides updated exposure information, and includes a summary of worldwide safety experience and approved foreign labeling.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA219112_20250117.pdf
govorestat,(b)(4),2024-11-27,The application failed to demonstrate substantial evidence of efficacy due to issues with primary endpoints in clinical trials and inadequate confirmatory evidence regarding the role of galactitol as a surrogate endpoint.,efficacy,"Conduct at least one new adequate and well-controlled trial demonstrating an effect on clinically meaningful endpoints. Alternatively, provide robust nonclinical efficacy data and other potential sources of confirmatory evidence. For accelerated approval, provide strong mechanistic evidence for galactitol's role, address alternative pathogenic mechanisms, and establish a galactitol reduction threshold predictive of clinical benefit.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA219195_20241127.pdf
(b)(4),(b)(4),2024-12-23,"The application is not otherwise adequate, and comments on labeling are reserved. A safety update is required, detailing changes in the safety profile, new safety data from clinical trials, reasons for trial discontinuation, case report forms for deaths or discontinuations due to adverse events, comparison of adverse event frequencies, updated exposure information, and worldwide safety experience. English translations of foreign labeling are also required.",safety,"Resubmit the application within one year, clearly marked as ""RESUBMISSION,"" fully addressing all deficiencies, including a comprehensive safety update with new data, retabulations of adverse events, case report forms, and worldwide safety experience. Comments on labeling will be addressed once the application is otherwise adequate. The proprietary name must be resubmitted when responding to all identified deficiencies.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA219357_20241223.pdf
vatiquinone,NDA 220049,2025-08-18,"The application did not provide sufficient evidence of effectiveness due to limitations in the statistical robustness of exploratory endpoints, baseline imbalances, and issues with missing data. Additionally, confirmatory evidence from real-world data and biomarker studies was insufficient. Manufacturing deficiencies related to impurities were also noted.",efficacy,"Conduct a positive, adequate, and well-controlled study, potentially a prospective randomized controlled study in pediatric subjects with FA using change from baseline in USS as a primary endpoint. Address manufacturing deficiencies by conducting adequate studies to qualify identified impurities. Refine the population PK model to improve the prediction of Cmax. Provide a comprehensive safety update.",https://github.com/plainyogurt21/CRLs/blob/main/unapproved_CRLs/CRL_NDA220049_20250818.pdf
